link,title,Description,Category
Too0ZipCfQk,"The Big Picture - Science, Innovation & Technology Policy 2020","The government has initiated a consultation process for formulation of a new national Science, Technology and Innovation Policy. The Office of the Principal Scientific Adviser to the Government of India and the Department of Science and Technology have jointly initiated a decentralised, bottom-up and inclusive process for the formulation of the new policy. The fifth S&T policy of the country is being formulated at a crucial juncture when India and the world are tackling the COVID-19 pandemic. In this edition of The Big Picture we will analyse the need and formulation of a new Science, Technology and Innovation Policy.

Guests - 
1- Prof. Ashutosh Sharma, Secretary, Dept. of Science & Technology, GoI  
2- Prof. V. Ramgopal Rao, Director, Indian Institute of Technology, Delhi    
3- Sanjay Nayak, Chairman, Science & Technology Committee, FICCI

Anchor - Frank Rausan Pereira      

Producer - Sagheer Ahmad",Science
gPzlA-yZZBk,How to Make ATM Machine | Science Project for KIDS at Home | Made With Cardboard |,"Hey guys this video is for everyone i show this video Amazing Cardboard Tutorial

Want to try ?
Your need some Cardboard .

Do you know How to Make ATM Machine | Science Project for KIDS at Home | Made With Cardboard | With Simple Cardboard life hacks ... it's really amazing Tutorial ideas .and this is the best ATM Machine with Cardboard . and it's Simple ATM Machine . its an easy and mess free 

art project with out glue. just Cardboard Tutorial compilation. Anyone can do this experiments with Cardboard also your kids can make it easily. Subscribe to Art Strategy for more interesting 

videos
 
just watch the video
*PHOTO FRAME Idea | How to Make Photo Frame using Woolen Yarn and Cardboard |",Science
2tGPkCvl1,Science gk in hindi | Important Science Questions | General science part- 3 | Science Tricks,Science gk in hindi | विज्ञान के प्रश्न | vigyan Questions answer | gk for railway group d ntpc bt ravi study iq gk,Science
6YD2Pw9R7jY,25 EASY Science Experiments You Can Do at Home!,"25 EASY Science Experiments You Can Do at Home!
Subscribe to our channel: http://bit.ly/1L5DNro
Follow Our Twitter: http://twitter.com/spacebound",Science
3fYNON3Y_yQ,Top 17 hybrid animals created by scientists you won’t believe exist in 2020!!,"Top 17 hybrid animals created by scientists you won’t believe exist in 2020!!

You may have seen many things are done in the name of science. The scientist worked hard in order to provide food for a growing world population or to provide medicine and cures for sickness and disease. And today we'll show you some of craziest hybrids made by scientists that will have you believe they don't truly exist. 

Liger
It is the Combination between a male lion and a female tiger. They are usually larger and heavier than either of the parent species. The largest of these unique hybrid cats often grows to lengths of more than ten feet. And they can weigh up to a whopping 2,200 pounds. 
Killer bees
These creatures were accidentally created by scientists who were trying to increase honey production. European species of honeybees were introduced to South America. But because of the heat the bees would not collect honey. 

Cama 
Cama is a hybrid animal created by crossbreeding a one humped camel from Asia with the South American llama. Despite the difference in shape and their size the camel and a llama are actually distant relatives and evolved from the same ancestor. 

Super cows
The Belgian super cow is known as somewhat of a mutant breed of cattle. Its origins date back to the 1800s when Belgian scientists and farmers decided to breed native cattle with short horn cattle. Over time the breeders would select the biggest and strongest animals of each variety and breed them together. 

Genpet
This isn't a real animal created by scientists. And is probably one of the greatest hoaxes in modern history. The marketing behind this shrink-wrap pet was so good that many people believed that they were real. 

Sterile pink bollworm
The pink bollworm is a serious pest when it comes to cotton farming. Not only do the young larvae inflict damage to the cotton plant by their feeding they chew through the cotton lint to feed on the seeds. Since cotton is used for fiber and oil the damage is twofold. 

Glow fish 
Glow fish are a brand of genetically engineered fluorescent fish. The very first fish to hit the market was the zebrafish which come in a rainbow of colors including Starfire red electric green sunburst orange cosmic blue and galactic purple. 

Zorse
This crazy-looking horse will make you do a double-take and exclaim why does that horse have stripes. The source is a result of crossbreeding of a male zebra and a female horse. It turns out that the zebra part gives the horse high resistance to certain pests and diseases. 

Savannah
Many of you have probably seen this animal before because it is a favorite among celebrities. Savannah cats are spotted and is an animal that was bred to give the impression of grandeur and dignity of a wild cat with a cheetah or leopard like appearance. 

See-through frog.
Have you ever imagined a frog that can be see through? Japanese scientists created frogs that their skin is see-through in their early lives. It means that there is no need to dissect frogs for medical research as you can see right through. 

Enviropig
Enviropig was genetically engineered to produce up to less than 65% phosphorus through its urine and feces. The high phosphorus from their waste ends up in lakes rivers and ocean deltas. Where the high phosphorus wastes can cause outbursts of algae. 

Tigon
This one has a tiger head a bit of a lion's body with a tiger's tail. Tigers usually have a body length of 8 to 9 feet. Between 1936 and 1938 both the London Zoo and the Manchester zoo had Tagans. 

wholphin 


Jaglion 


See through goldfish.


Dolly the sheep

 
Alligator snapping turtle
These creatures are prehistoric and brutal looking. And it's no surprise that their behavior matches their appearance with their spiked shell bear like jaws and thick scale the dragon tail. Interestingly enough they are often referred to as the dinosaur of the turtle world",Science
JM1fcDhofG0,दुनिया के कुछ गज़ब तथ्य | Most Amazing Facts in Hindi | Science & Technology Facts,"दुनिया के कुछ गज़ब तथ्य | Most Amazing Facts in Hindi | Science & Technology Facts 

facts, facts in hindi, hindi facts, science and technology, science facts, scientific facts, tech facts, technology facts, most amazing facts, most amazing facts in hindi,",Science
DC4uU_157,9 Amazing Science Gadgets!,"Music: Monolith https://open.spotify.com/album/3fuORh...
Music: Soul Switch https://open.spotify.com/album/1uQg0Y...",Science
dE_17a-L10,INCREDIBLE SCIENCE HOME EXPERIMENTS,"00:00 - Water experiment
00:16 - Experiments with ice
01:50 - Satisfying metal experiments",Science
FqnH2iemI,Amazing Science Toys/Gadgets 2,"NEW VIDEO 😱➡️ https://youtu.be/GpY3WSB0jbs

📭 Submit videos to: MindblowingSubmissions@gmail.com
➡️ Follow me on Instagram: ",Science
Gtox22g92k,Who Is The GOD Can You Explain Through Science || Dr Zakir Naik Reply To Hindu Urdu/Hindi Answers,"Who Is The GOD Can You Explain Through Science || Dr Zakir Naik Reply To Hindu Urdu/Hindi Answers
#ALLAH #GOD #Science #drzakirnaik",Science
6ADqAX-heFY,I mapped my entire apartment’s Wi-Fi signal,"So you've got crappy Wi-Fi. What do you do when you’ve rebooted your router, checked all your cables, called your ISP, and your Wi-Fi still fails you? Obviously, you model the physics of Wi-Fi moving through space. And then test the math, square foot by square foot. Becca Farsace and Cory Zapatka teamed up to learn more about how science can help.

Learn more: ",Science
42KLMAkVw78,SOLVE THESE IMPOSSIBLE SCIENCE PUZZLES! How are they even possible?,"Hi Everyone :) 
Welcome back! 
Buy physicsfun toys on :https://bit.ly/2MOjFET",Science
iaUt5GDqG5,Electric Power Free Energy Generator With DC Motor 100% New Experiment Science Project at Home,"Hello everyone! This is video I want to show you about Electric Power Free Energy Generator With DC Motor 100% New Experiment Science Project at Home. All of us hope you'll like our video clip concerning "" Info Yourself"" here, and don't forget to subscribe to our YouTube Channel.

Please Follow Me On:

+ Website : (",Science
Q3oItpVa9f,CYMATICS: Science Vs. Music - Nigel Stanford,"► NEW VIDEO Automatica: http://nigelstanford.com/y/Cytext-Aut...
► Album, Apple Music, CDs & 4k Video: http://nigelstanford.com/y/Cytext-Cym...
► Spotify: http://NigelStanford.com/y/Spotify",Science
lNVb4Aa1KmM,Universal Interconnectedness | Science & Spirituality,"In this conversation with Lothar Schäfer, Eckhart discusses our shared connection with consciousness and how science and spiritual practice can follow the same path towards awakening. Subscribe to find greater fulfillment in life: http://bit.ly/EckhartYT",Science
4lqjNCjxx0,HOW TO STUDY SOCIAL SCIENCE EASILY?|| SST STUDY 30 DAYS PLAN FOR CLASS 10 CBSE,"HOW TO STUDY SOCIAL SCIENCE EASILY?|| SST STUDY 30 DAYS PLAN FOR CLASS 10 CBSE|| HOW TO GET GOOD MARKS IN SST IN CLASS 10 BOARD EXAM, LATEST SST SYLLABUS OF SOCIAL SCIENCE OF 10TH CBSE AS OER 2021 SYLLABUS REDUCTION, HOW TO COVER FULL SST IN 1 MONTH, HOW TO STUDY HISTORY, CIVICS, GEOGRAPHY, ECONOMICS EASILY TO SCORE GOOD MARKS, HOW TO GET ABOVE 90 MARKS IN SST NCERT BOARD EXAMS CLASS 10 CBSE
Complete Detail Explanation In Simple Words. BEST EXPLANATION IN 1 SHOT BY BEST TEACHERS OF INDIA

Here at EduMantra Our Focus Is To Provide Best Quality Education To All Students From India And Across The Globe.
------------------------------------------------------------------------------------------------------------
For study material, handwritten notes, Doubt sessions, live quizes, live lectures, exam time support call 9818434684 - DOWNLOAD EDUMANTRA LEARNING APP OR VISIT www.sanjivsir.com
or call 9818434684

FOR UPDATES JOIN US ON TELEGRAM GROUP:
EDUMANSCLUB
 ",Science
JgL2UtZY,6 Things Your Body Does That Science Still Can't Explain,"One of the greatest mysteries is not whether ghosts are real or if there's alien life. The mystery is us. Here are some simple things our body does that science still can't figure out.

►Subscribe for more videos!  ",Science
Lz7SDw7PEPE,50 Most Incredible Recent Discoveries Science Can't Explain,"Top 50 Most Incredible Recent Discoveries Science Can't Explain
Subscribe to Top 10s ► https://goo.gl/zvGBHe",Science
2WuB8BhUJr,The Science of Marathon Running,"I ran one… FOR SCIENCE! 

Viewers like you help make PBS (Thank you 😃) . Support your local PBS Member Station here: ",Science
F5F4M110pIA,Changing the Dinosaur Family Tree & Moulting Microraptor - 7 Days of Science,"This week on 7 Days of Science: polar bears haven’t got long, the dinosaur family tree is altered, and a microraptor moults.

Support us on Patreon: ",Science
xmNzUEmFZMg,The science of milk - Jonathan J. O'Sullivan,"View full lesson: http://ed.ted.com/lessons/the-science...

The milk industry produces in excess of 840 million tons of products each year. Why do humans drink so much milk? And given that all mammals lactate, why do we favor certain types of milk over others? Jonathan J. O’Sullivan describes how milk is made.

Lesson by Jonathan J. O'Sullivan, animation by TED-Ed.",Science
2L0ZHxcoWhM,10 AMAZING SCIENCE EXPERIMENTS!,"10 AMAZING SCIENCE EXPERIMENTS! and TRICKS compilation they are awesome easy to do at home, using copper wire battery and magnets gyroscopes chain and ring, electric train etc. ",Science
HQx5Be9g16U,10 Amazing Science Tricks Using Liquid!,"Music: Abyss - https://open.spotify.com/track/26cPW8...
Music: Over Rain - https://open.spotify.com/track/6HpFRQ...",Science
iV9YzDF5EOM,Pepper and soap science experiment for kids | easy DIY Activity,Pepper and soap science experiment for kids easy DIY activities to show kids why you should wash your hands! We got inspired by mandysmunchkins_ ! Thank you for the fun experiment!,Science
fZh4BHpziTg,An all-out war? | Scientists warn against renewal of nuclear tests,"A group of 40 scientists has warned the US against a resumption of nuclear testing after reports have emerged suggesting that the Trump administration 'discussed whether to conduct the first nuclear test' since a decades-long moratorium. Nobel Laureate Sir Richard J. Roberts believes a renewal of nuclear tests could set off an alarming chain reaction. 

Subscribe to RT! ",Science
OTYfke545vI,What Actually Happens If You Get Coronavirus?,"What is the coronavirus and what does it actually do in your body?
Mask vs No Mask Lab Results - Do they work? https://youtu.be/qDeP7-rUZmo
JOIN OUR NEW EMAIL LIST https://mailchi.mp/072240d817d6/asaps...",Science
0V4uLZxqM,Is Darth Vader REALLY That STRONG?! | The SCIENCE of... Star Wars,"SUBSCRIBE to Catch all the Theories! ► https://goo.gl/kQWHkJ
How the Force WORKS Explained! ►  https://bit.ly/2PtqevI",Science
VxvQYZJNLxI,Computer Science Vs Software Engineering | How to Pick the Right Major,"Support the Channel: https://www.patreon.com/zachstar
PayPal(one time donation): https://www.paypal.me/ZachStarYT",Science
WMVCaKiPY6A,Scientists unveil largest 3D map of the universe ever,"The map includes more than 2 million galaxies and covers 11 billion years of the universe's history.

Check out the article  → https://bit.ly/3eOY8oc",Science
X6BGBvsuVT4,"Gravitas: Mass exodus from Chinese institute, 90 nuke scientists quit",90 Nuke Scientists have quit from a prominent state-run research institute in China. The Vice Premier of China is demanding answers. He has ordered an investigation into the mass exodus. ,Science
k_ZlWJ3qJI,CARNIVAL SCAM SCIENCE- and how to win,"Prepare to drop some knowledge next time you visit the carnival.
Go expand your mind and learn something new at Skillshare.com.  The first 300 people (they opened this up to first 2,000) get 2 months FREE!  http://bit.ly/SkillShareMarkRober",Science
FeanxO4-E8,Ryan learns Easy DIY Science Experiment for Kids with how to make a homemade Volcano,Ryan learns Easy DIY Science Experiment for Kids with Do It Yourself Volcano and more!! Fun and easy fun experiments for the whole family to do at home together!,Science
VlvxHJdql8,13 Study Tips: The Science of Better Learning,"Our brain can potentially memorize 2.5 petabytes of information, which is roughly the equivalent of 3 million hours of YouTube videos. In order to use some of that staggering capacity a little more effectively when you study, here are some tips that are based on widely-accepted research by neuroscientists and learning experts. 

Support our channel and help us create our next video at ",Science
SrXhylmIQ,Top 10 Science Experiments - Experiments You Can Do at Home Compilation,Top 10 Science Experiments - Experiments You Can Do at Home Compilation,Science
GEjJXGu8HY4,Political Science-1: Part 1/5 Origin and Growth of Indian Political System|| by Chandranath.M,"Notes link: https://drive.google.com/file/d/15_lo...

About Chandranatha M

Chandranatha M (M.A B.Ed) is a Lecture in Political Science at Govt. PU College Chelairu Mangalore. Prior to joining Govt. service, he has served as Lecturer in Political Science at St. Agnes College (Autonomous) Mangalore.",Science
x1MPkV9EFGM,12 Most Incredible Finds That Scientists Still Can't Explain,"Subscribe ► http://goo.gl/WPKt5w

We love a good mystery. As fascinating as it is when an archaeologist pulls something out of the ground and is immediately able to tell us all about what it is, and what it says about the people who came before us, we're much more excited when they come across something they can't explain. Even with all our current technology, the amount of information we're missing about our ancestors and the way they lived is startling. Perhaps we'd understand them a little better if we correctly understood the purpose of the strange artifacts you're about to see in this video!

For all questions contact us at: amazingstockchannel@gmail.com",Science
LHr1na5DZ44,101 Indian Street Food Dishes to Eat Before You Die,"🧳 101 Indian Street Food Dishes Kindle Book: https://www.amazon.com/dp/B088PC5Q78/...
👕 DAVID’S BEEN HERE SHIRTS & MERCH: teespring.com/stores/davids-been-here
 
Since 2018, I have taken five incredible trips to India to explore its incredible culture, history, natural beauty, and food. Along the way, I have fallen in love with Indian street food and want to share my love of it with you. These are the 101 Indian street foods you must eat before you die!

AGRA
1. Petha
2. Bedai Puri with Potato Sabji

AHMEDABAD
3. Ganthiya
4. Gujarati Peppers
5. Maska Buns
6. Poha
7. Ghughra Sandwich
8. Prawn Chili Masala
9. Biscuit Pizza
10. Ice Cream Sandwich with Cheese
11. Chocolate Chip Nitrogen Biscuit

ALLEPPEY
12. Puttu with Fish & Duck Curry
13. Toddy Shop Spicy Seafood Feast

AMRITSAR
14. Kulcha with Chole Masala & Tamarind Sauce
15. Paneer Bhurji
16. Amritsari Lassi

BANGALORE
17. Chow Chow Bath
18. Sheek Sambo Roll
19. Chicken Shawarma Roll
20. Thatte Idli
21. Floating Pani Puri
22. Roasted Chili Corn

CHENNAI
23. Mysore Masala Dosa
24. Filtered Coffee
25. Prawns with Gravy
26. Fried Squid Curry
27. Mud Coffee
28. Elaneer Payasam

DELHI
29. Jalebi
30. Fire Paan
31. Butter Chicken
32. Buffalo Biryani

GUWAHATI
33. Parampara Thali
34. Spicy Chicken Chow

HYDERABAD
35. 70mm Dosa
36. Pizza Dosa & Szechwan Cream Dosa
37. Bamboo Chicken
38. Chicken 65 Tikka
39. Hyderabadi Biryani

JAIPUR
40. Rajasthani Thali

JORHAT
41. Spicy Pani Puri
42. Raj Kachori
43. Spicy Chicken Momos

KANNUR
44. Puttu with Beef
45. Patel with Mutton Liver
46. Mussel Pepper Fry

KASARAGOD
47. Indian Wedding Feast

KAZIRANGA ORCHID & BIODIVERSITY PARK
48. Jungle Assamese Thali

KILIMANOOR
49. Pazhamkanji 

KOCHI
50. Prawn Curry
51. Egg Dosa
52. Beef Dry Fry & Chicken Fry
53. Sea Bream with Masala & Prawn Roast

KOLKATA
54. Dhokar Dalna
55. Deep-Fried Chicken Momos
56. Original Kathi Roll
57. Kolkata-Style Chinese Noodles
58. Puchka
59. Rasgulla
60. Hing Kachori

KOTTAKKAL
61. Avil Milk
KOZHIKODE
62. Calicut Biryani
63. Mackerel Biryani
64. Green Pea Masala

LUCKNOW
65. Tunde Ke Kebabs
66. Makkhan Malai

LAITLYNGKOT
67. Blood Sausage

MAWKDOK
68. Prawn Maggi

MUMBAI
69. Pani Puri
70. Masala Vada Pav
71. Bhel Puri
72. Nitrogen Biscuit
73. Chicken Lollipops
74. Paneer Chili
75. Dara Singh Thali

MUNNAR
76. Jungle Food
77. Homemade Chocolate

PUNE
78. Egg Bhurji
79. Misal Pav
80. Sponge Dosa
81. Tandoori Chai
82. Bahubali Thali

SHILLONG
83. Pork Feast
84. Dohklieh & Pork Innards

SIVASAGAR
85. Assamese Pork Feast

TEZPUR
86. Dabeli
87. Banana Leaf Chicken

THALASSERY
88. Thalassery Dum Biryani
89. Cocktail

THEKKADY
90. Beef Roast with Parotta
91. Idiyappam with Chicken Stew
92. Tribal Feast

THRISSUR
93. Tapioca with Pork

TRIVANDRUM
94. Beef Curry & Parottas
95. Pazham Pori & Pothu Curry
96. Sadhya
97. Chicken Fry with Lime Juice

VARKALA
98. Tata Dosa
99. Egg Curry

VARANASI
100. Puri Kachori
101. Sweet Paan

Those are the 101 Indian street food dishes you must eat before you die! How many of them have you had?

Where have you been?

Subscribe Here! ",Food
VQom7DelNf8,PATIALA,"Veggiepaaji shows you the best food places of PATIALA Food in this episode of Indian Street Food Best of Veggiepaaji. Punjab Street Food is amazing.

Check out Cooking Paaji",Food
